loc,text
intro,"Environmental engineer and data scientist working in the global water, sanitation and health (WASH) sector. Open Science Specialist at ETH Zurich. I develop data science training, build open-data communities, and provide consulting to help manage the world's sanitation challenges. My work spans every sector under the sun, which has made me highly adaptable and empathetic."
open_data_aside,"I build and maintain open-data communities and FAIR data tooling."
teaching_aside,"I am passionate about teaching reproducible data science to newcomers."
grants_aside,"Wrote and managed a portfolio of ETH Board Open Research Data grants worth roughly CHF 500,000 in total (2023-2026)."
talks_aside,"Featured recording: [Plan for tomorrow today - a model for data stewardship](https://www.youtube.com/watch?v=zpVo_-Ne91c) (ETH Library 17:15 Kolloquium)."
research_intro,"My research sits at the intersection of environmental engineering, global sanitation, and data science. I work on methods to quantify and characterise faecal sludge, city-wide sanitation monitoring, and the tools and open data that make this work reproducible."
software_intro,"I build and lead open-data communities and FAIR data tooling for the water, sanitation and hygiene (WASH) sector, and I write and manage the grants that fund them."
teaching_intro,"I teach reproducible data science with R and Quarto to newcomers, from graduate courses to free online cohorts and hands-on workshops for scientists and civil servants."
media_intro,"Selected coverage, recordings and video features of my work on open research data and sanitation."
blog_intro,"Occasional writing on data stewardship, open science and reproducible research, mostly on the Global Health Engineering blog."
research_interests,"Faecal sludge management · City-wide sanitation monitoring (SFD / Shit Flow Diagrams) · Quantification and characterisation of faecal sludge · Open research data and FAIR data publishing · Reproducible data science with R and Quarto · Data stewardship"
field_research,"Uganda (Kampala) · Tanzania (Dar es Salaam) · Vietnam (Hanoi) · Bangladesh (Khulna) · India · Bhutan · Haiti (Cap-Haïtien) · South Africa (Durban)"
peer_review,"Reviewer for journals in environmental engineering, sanitation and open science."
